"","beh_chat","beh_call","beh_strg","subject"
"1",0,0,0,"squirrel 1"
"2",0,1,0,"squirrel 1"
"3",0,0,0,"squirrel 1"
"4",0,0,0,"squirrel 1"
"5",0,0,0,"squirrel 1"
"6",0,0,0,"squirrel 1"
"7",0,1,0,"squirrel 1"
"8",0,0,0,"squirrel 1"
"9",0,0,0,"squirrel 1"
"10",0,0,0,"squirrel 1"
"11",0,0,0,"squirrel 1"
"12",0,1,0,"squirrel 1"
"13",0,1,1,"squirrel 2"
"14",0,1,0,"squirrel 2"
"15",0,0,0,"squirrel 2"
"16",0,0,0,"squirrel 2"
"17",0,0,1,"squirrel 2"
"18",0,1,0,"squirrel 2"
"19",0,0,0,"squirrel 2"
"20",0,0,0,"squirrel 2"
"21",0,0,0,"squirrel 2"
"22",0,0,0,"squirrel 2"
"23",0,0,0,"squirrel 2"
"24",0,0,0,"squirrel 2"
"25",0,0,0,"squirrel 2"
"26",0,0,0,"squirrel 2"
"27",0,0,0,"squirrel 2"
"28",0,0,0,"squirrel 2"
"29",0,0,0,"squirrel 2"
"30",0,0,0,"squirrel 2"
"31",0,0,0,"squirrel 2"
"32",0,0,0,"squirrel 2"
"33",0,0,0,"squirrel 2"
"34",0,0,0,"squirrel 2"
"35",0,0,0,"squirrel 3"
"36",0,0,0,"squirrel 3"
"37",0,0,0,"squirrel 3"
"38",0,0,0,"squirrel 3"
"39",1,0,0,"squirrel 3"
"40",0,0,0,"squirrel 3"
"41",0,0,0,"squirrel 3"
"42",0,0,0,"squirrel 3"
"43",0,0,0,"squirrel 4"
"44",0,0,0,"squirrel 4"
"45",0,0,0,"squirrel 4"
"46",0,0,0,"squirrel 4"
"47",0,0,0,"squirrel 4"
"48",0,0,0,"squirrel 4"
"49",0,0,0,"squirrel 4"
"50",0,0,0,"squirrel 4"
"51",0,0,0,"squirrel 4"
"52",0,0,0,"squirrel 4"
"53",0,0,0,"squirrel 4"
"54",0,0,0,"squirrel 4"
"55",0,0,0,"squirrel 5"
"56",0,0,1,"squirrel 5"
"57",0,1,0,"squirrel 5"
"58",0,1,0,"squirrel 5"
"59",0,0,0,"squirrel 5"
"60",0,0,0,"squirrel 5"
"61",0,0,0,"squirrel 5"
"62",0,0,0,"squirrel 5"
"63",1,0,0,"squirrel 5"
"64",0,1,1,"squirrel 6"
"65",0,0,0,"squirrel 6"
"66",0,0,0,"squirrel 6"
"67",0,0,0,"squirrel 6"
"68",0,0,0,"squirrel 6"
"69",0,0,0,"squirrel 6"
"70",0,0,0,"squirrel 6"
"71",0,0,0,"squirrel 6"
"72",0,0,0,"squirrel 7"
"73",1,1,1,"squirrel 7"
"74",0,0,0,"squirrel 7"
"75",0,0,0,"squirrel 7"
"76",0,1,0,"squirrel 7"
"77",0,0,0,"squirrel 7"
"78",0,0,0,"squirrel 8"
"79",0,0,0,"squirrel 8"
"80",0,0,0,"squirrel 8"
"81",0,0,0,"squirrel 8"
"82",0,0,0,"squirrel 8"
"83",0,0,1,"squirrel 8"
"84",0,0,0,"squirrel 8"
"85",0,0,0,"squirrel 8"
"86",0,0,0,"squirrel 8"
"87",0,0,0,"squirrel 8"
"88",0,0,0,"squirrel 8"
"89",0,0,0,"squirrel 8"
"90",0,0,1,"squirrel 8"
"91",0,0,0,"squirrel 8"
"92",0,0,0,"squirrel 8"
"93",0,0,0,"squirrel 8"
"94",0,0,0,"squirrel 8"
"95",0,0,1,"squirrel 9"
"96",0,0,0,"squirrel 9"
"97",0,0,0,"squirrel 9"
"98",0,1,0,"squirrel 9"
"99",0,0,0,"squirrel 10"
"100",0,0,0,"squirrel 10"
"101",0,0,0,"squirrel 10"
"102",0,0,1,"squirrel 10"
"103",0,0,0,"squirrel 10"
"104",0,0,0,"squirrel 10"
"105",0,0,0,"squirrel 11"
"106",0,0,0,"squirrel 11"
"107",0,0,0,"squirrel 11"
"108",0,0,0,"squirrel 11"
"109",0,0,0,"squirrel 11"
"110",0,0,0,"squirrel 11"
"111",0,0,0,"squirrel 11"
"112",0,0,0,"squirrel 11"
"113",0,0,0,"squirrel 11"
"114",0,0,0,"squirrel 11"
"115",0,0,0,"squirrel 11"
"116",0,1,0,"squirrel 12"
"117",0,0,0,"squirrel 12"
"118",0,0,0,"squirrel 13"
"119",1,0,0,"squirrel 13"
"120",0,0,0,"squirrel 14"
"121",0,0,0,"squirrel 14"
"122",0,0,0,"squirrel 14"
"123",0,0,0,"squirrel 14"
"124",0,0,0,"squirrel 14"
"125",0,0,0,"squirrel 14"
"126",0,0,0,"squirrel 14"
"127",0,0,0,"squirrel 14"
"128",0,0,0,"squirrel 14"
"129",0,0,0,"squirrel 14"
"130",0,0,0,"squirrel 14"
"131",0,0,0,"squirrel 14"
"132",0,0,0,"squirrel 15"
"133",0,0,0,"squirrel 15"
"134",0,0,0,"squirrel 15"
"135",0,0,0,"squirrel 15"
"136",0,0,0,"squirrel 15"
"137",0,0,0,"squirrel 15"
"138",0,0,0,"squirrel 15"
"139",0,0,0,"squirrel 15"
"140",0,0,0,"squirrel 15"
"141",0,0,0,"squirrel 15"
"142",0,0,0,"squirrel 15"
"143",0,0,0,"squirrel 15"
"144",0,0,0,"squirrel 15"
"145",0,0,0,"squirrel 15"
"146",0,0,0,"squirrel 15"
"147",0,0,0,"squirrel 15"
"148",0,0,0,"squirrel 15"
"149",0,0,0,"squirrel 15"
"150",0,0,0,"squirrel 15"
"151",0,0,0,"squirrel 15"
"152",0,0,0,"squirrel 15"
"153",0,0,0,"squirrel 15"
"154",0,0,1,"squirrel 16"
"155",0,0,0,"squirrel 16"
"156",0,0,0,"squirrel 16"
"157",0,0,0,"squirrel 16"
"158",0,0,0,"squirrel 16"
"159",0,0,0,"squirrel 16"
"160",0,0,0,"squirrel 16"
"161",0,0,0,"squirrel 17"
"162",0,0,0,"squirrel 17"
"163",0,0,0,"squirrel 17"
"164",0,0,0,"squirrel 18"
"165",1,0,0,"squirrel 18"
"166",0,0,0,"squirrel 18"
"167",0,0,1,"squirrel 19"
"168",0,0,1,"squirrel 20"
"169",0,0,0,"squirrel 20"
"170",0,0,0,"squirrel 20"
"171",0,0,0,"squirrel 20"
"172",0,0,0,"squirrel 20"
